filename,duration,distance,average heart rate,average pace,starting time,rTSS,date
activity_11448204310.tcx,4593.0,14.43 km,152 bpm,0:05:18 mins/km,2023-06-29 06:59:58+01:00,71,2023-06-29
activity_11295266911.tcx,4500.0,14.61 km,157 bpm,0:05:08 mins/km,2023-06-08 06:47:43+01:00,74,2023-06-08
activity_9939594779.tcx,1241.0,3.74 km,148 bpm,0:05:32 mins/km,2022-11-08 19:06:32+08:00,18,2022-11-08
activity_10858724662.tcx,4501.0,16.19 km,152 bpm,0:04:38 mins/km,2023-04-08 08:13:23+01:00,92,2023-04-08
activity_9726377117.tcx,565.0,1.63 km,158 bpm,0:05:47 mins/km,2022-10-04 18:45:00+08:00,7,2022-10-04
activity_9918601081.tcx,1155.0,3.66 km,145 bpm,0:05:16 mins/km,2022-11-05 07:32:19+08:00,18,2022-11-05
activity_11543518087.tcx,2178.0,7.14 km,156 bpm,0:05:05 mins/km,2023-07-12 13:07:30+02:00,37,2023-07-12
activity_12742678057.tcx,566.0,1.7 km,140 bpm,0:05:33 mins/km,2023-11-15 14:01:21+00:00,8,2023-11-15
activity_11748183210.tcx,1741.0,5.56 km,147 bpm,0:05:13 mins/km,2023-08-09 12:16:37+01:00,28,2023-08-09
activity_10932683335.tcx,4909.0,15.53 km,153 bpm,0:05:16 mins/km,2023-04-18 18:14:59+01:00,83,2023-04-18
activity_11534577168.tcx,3581.0,11.17 km,154 bpm,0:05:21 mins/km,2023-07-11 09:00:05+02:00,55,2023-07-11
activity_12962160980.tcx,4182.0,12.11 km,148 bpm,0:05:45 mins/km,2023-12-03 07:10:16+00:00,55,2023-12-03
activity_10607480419.tcx,1762.0,6.01 km,150 bpm,0:04:53 mins/km,2023-03-01 12:16:01+00:00,32,2023-03-01
activity_11645989099.tcx,1801.0,5.91 km,159 bpm,0:05:05 mins/km,2023-07-26 12:15:20+01:00,30,2023-07-26
activity_12214122273.tcx,966.0,4.29 km,155 bpm,0:03:45 mins/km,2023-10-07 14:09:20+01:00,30,2023-10-07
activity_10095071714.tcx,3560.0,12.0 km,159 bpm,0:04:57 mins/km,2022-12-07 08:01:14+13:00,63,2022-12-07
activity_10909365868.tcx,1107.0,3.21 km,155 bpm,0:05:45 mins/km,2023-04-15 14:33:22+01:00,15,2023-04-15
activity_9613123455.tcx,4104.0,13.08 km,150 bpm,0:05:14 mins/km,2022-09-15 18:13:11+01:00,68,2022-09-15
activity_8933120548.tcx,2820.0,9.46 km,159 bpm,0:04:58 mins/km,2022-06-01 13:09:30+01:00,50,2022-06-01
